Día,Belisario,Carapungo,Centro,Cotocollao,El Camal
1,20.58666707433375,45.65628147903811,44.0003291914286,19.91074533387622,21.29672802749295
2,35.658495351063834,44.26026955604011,18.65254955508905,29.552992609521855,48.25883497040537
3,12.827427652915922,21.751005047343117,20.34435601055334,14.977081221059542,33.01093367629863
4,36.819450750385755,6.745683041521909,39.80738186562656,28.16376149979139,42.03239219289934
5,48.856424660178966,35.042381625805334,39.22292117465978,14.800295483374637,22.894053865350028
6,46.395382231855564,8.934301760041583,14.795951977451164,24.46878187278245,45.32176939437977
7,15.51103515357002,43.25831038679828,13.369408033852322,16.408797214747107,8.011950973379255
8,30.336108603841524,46.660105913531744,17.97445798239644,43.82665574142534,47.18409858833752
9,37.827553424014695,10.533507336940525,18.8781435294132,19.15841415170945,30.12842885737798
10,16.894466182704548,40.58153007109096,15.725874531665223,40.77065176229268,24.538389433817038
11,33.34357360860668,39.38744689390286,27.82552776627317,42.03020071771494,27.359671481107547
12,16.183730711403072,29.850995171566097,9.429028098053132,46.102666889608614,9.385473030676174
13,12.502858633876212,29.250841811508316,11.238661182297706,19.26789861036371,38.945493379790484
14,8.874281673890941,40.774867067638944,39.67177627138409,24.108578166003483,32.74058590347964
15,20.279589724126822,43.219340659269186,20.277596781574886,31.677208448587454,17.770927546127105
16,48.91191981095099,40.31418204621896,24.91333382677718,24.344960883322116,22.808895733807564
17,20.34577508281771,47.05842030042278,7.790073330499116,33.95041802946075,6.951166325373501
18,21.48937070367087,39.34335389317315,25.775612523766593,45.435102317043786,16.800737914811968
19,47.26313900810798,44.95802658846176,9.491020340153717,13.946290680751767,47.43331258398262
20,26.76343413585929,5.521146885283137,26.30856802647055,25.287633391857803,9.714611308593202
21,9.914098553086635,28.847371890550797,15.790737940485528,20.947147887672774,11.092724055691274
22,16.28602556979142,11.577932319304486,21.07416353747932,15.29756047684145,34.83815764190619
23,9.419791667687004,17.318349933616993,46.91227853291257,9.174036547756613,24.630301613786894
24,6.763528475218051,23.714395970755653,18.147511060958955,19.97941824986978,16.17962696729467
25,19.852259431047898,37.7483418319838,38.18248287774368,48.99036700549373,29.16007310867709
26,11.281774214810568,41.82062437002571,32.60262382688194,13.631994276000725,27.267583619302506
27,33.68633554411732,7.027671799328392,27.798301383879828,17.381716425632774,48.53080114859595
28,39.33168164445413,39.55440745766561,20.680655002780583,39.28821269730728,38.36162189985673
29,32.85103017747769,24.628594392614712,23.688082013626566,13.223823096756371,45.39047401215987
30,17.749107820713196,11.928449213171683,9.18147698384779,37.495177444153335,12.25538986228018
